#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-02-12T14:00:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#ACO	RAB1950	DEB1950	BMtype	Count	GLON	GLAT	z	Rich	Dclass	m10	_RA.icrs	_DE.icrs	label_offset	Pet name
# 	"h:m:s"	"d:m:s"	 	ct	deg	deg	 	 	 	mag	"h:m:s"		"d:m:s"  	"dx,dy"
#----	-------	------	-------	---	------	------	-------	-	-	----	--------	--------	------------	--------
-----	03 26.0	-20 50	-------	200	211.33	-53.74	 0.0056 -1	-1	-1	03 28 13.8	-20 44 40	+0.0 -0.1	Eridanus
-----	12 24.5	+12 59	III	999	280.08	 74.49	 0.0033 -1	-1	-1	12 27 00.0      +12 43 00	+0.0 -0.1	Virgo
  194	01 23.0	-01 46	II     	 37	142.07	-63.10	 0.0178	0	1	13.9	01 25 33.1	-01 30 25	+0.0 -0.1	
  262	01 49.9	+35 54	III    	 40	136.59	-25.09	 0.0161	0	1	13.3	01 52 50.4	+36 08 46	+0.1 +0.1	
  347	02 22.7	+41 39	II-III 	 32	141.17	-17.63	 0.0187	0	1	13.3	02 25 50.9	+41 52 30	+0.1 +0.1	
  400	02 55.0	+05 50	II-III 	 58	170.25	-44.93	 0.0232	1	1	13.9	02 57 38.6	+06 02 00	+0.0 -0.1	
  426	03 15.3	+41 20	II-III 	 88	150.39	-13.38	 0.0183	2	0	12.5	03 18 36.4	+41 30 54	-0.1 -0.1	Perseus
#  539	05 13.9	+06 24	III    	 50	195.70	-17.72	 0.0205	1	2	14.4	05 16 35.1	+06 27 15	+0.0 -0.1	
  569	07 05.4	+48 42	II:    	 36	168.58	 22.81	 0.0196	0	1	13.8	07 09 10.4	+48 37 10	+0.0 -0.1	
  634	08 10.5	+58 12	III    	 40	159.40	 33.64	 0.0267	0	3	14.9	08 14 33.7	+58 02 52	+0.0 -0.1	
  779	09 16.8	+33 59	I-II:  	 32	191.07	 44.41	 0.0226	0	1	13.8	09 19 50.8	+33 46 17	+0.0 -0.1	
 1060	10 34.5	-27 16	III    	 50	269.64	 26.51	 0.0114	1	0	12.7	10 36 51.3	-27 31 35	+0.0 -0.1	Hydra
 1367	11 41.9	+20 07	II-III:	117	234.81	 73.03	 0.0215	2	1	13.5	11 44 29.5	+19 50 21	+0.0 -0.1	Leo
 1656	12 57.4	+28 15	II     	106	 58.09	 87.96	 0.0232	2	1	13.5	12 59 48.7	+27 58 51	+0.0 +0.1	Coma
 2666	23 48.4	+26 52	I      	 34	106.71	-33.81	 0.0265	0	1	13.8	23 50 56.2	+27 08 41	+0.0 -0.1	
# 2806	00 37.9	-56 26	I-II   	 37	306.16	-60.90	 0.0271	0	3	15.1	00 40 10.8	-56 09 32	+0.0 -0.1	
# 2860	01 01.8	-40 03	I      	 41	291.99	-77.08	 0.0268	0	4	16.0	01 04 06.6	-39 46 55	+0.0 -0.1	
